No,Soal,Student_Answer,Feedback_Type,Generated_Feedback,dict_generated_feedback
11,Hasil dari (x – 1)(x – 5) adalah....,"Aduh, gampang! x^2 – 5, kan?",Try again + Delayed Topic Contingent,"{
  ""Feedback_Type"": ""Try again + Delayed Topic Contingent"",
  ""Feedback"": ""Wah, semangat! Kamu sudah mulai benar dengan berpikir tentang bentuk hasilnya. Yang keliru adalah bagian ekspansi: kamu kehilangan dua langkah penting saat mengalikan setiap pasangan tanda. Coba ulang dengan menggunakan pola FOIL (First, Outer, Inner, Last):\n\nFirst: $x\\cdot x = x^2$\nOuter: $x\\cdot (-5) = -5x$\nInner: $(-1)\\cdot x = -x$\nLast: $(-1)\\cdot(-5) = 5$\n\nKemudian gabungkan hasilnya menjadi satu ekspresi. Kesalahan umum adalah menumpuk hanya $x^2$ dan konstanta, tanpa menyatukan suku-suku $x$ yang memiliki koefisien. Coba ulang soal ini lagi dengan langkah-langkah di atas dan tulis ekspresinya sendiri.\n\nCatatan: Topik terkait yang akan kita bahas nanti (Delayed Topic Contingent) adalah bagaimana memeriksa hasil perkalian dengan cara lain dan mempercepat perhitungan ekspresi kuadrat menggunakan pola aljabar yang relevan.""
}",
12,Nilai dari 3(x – 2) – 4(x + 1) adalah....,"Waduh, ini gampang banget! Jawabannya –x + 10, kan?",Correct Response + Topic Contingent,"{
  ""Feedback_Type"": ""Correct Response + Topic Contingent"",
  ""Feedback"": ""Wah, semangat ya! Kamu punya SPK yang tinggi, tapi jawabanmu belum tepat. Kesalahannya ada pada mendistribusikan tanda di bagian -4(x + 1). Tanda negatif seharusnya diterapkan ke seluruh isi kurung, jadi distribusinya menjadi $-4(x+1) = -4x - 4$. Lanjutkan dengan menjumlahkan suku-suku sejenis antara bagian pertama dan bagian kedua. Contohnya: $3(x-2) = 3x - 6$; $-4(x+1) = -4x - 4$; gabungkan suku-suku sejenis: koefisien x berasal dari $3x$ dan $-4x$, sedangkan konstanta berasal dari $-6$ dan $-4$. Coba kamu lanjutkan langkah akhirnya untuk menuliskan bentuk yang terlengkap tanpa saya kasih jawaban akhirnya. Jika mau, saya bisa cek jawabanmu setelah kamu kirimkan langkah-langkah yang sudah kamu lakukan.""
}","{'Feedback_Type': 'Correct Response + Topic Contingent', 'Feedback': 'Wah, semangat ya! Kamu punya SPK yang tinggi, tapi jawabanmu belum tepat. Kesalahannya ada pada mendistribusikan tanda di bagian -4(x + 1). Tanda negatif seharusnya diterapkan ke seluruh isi kurung, jadi distribusinya menjadi $-4(x+1) = -4x - 4$. Lanjutkan dengan menjumlahkan suku-suku sejenis antara bagian pertama dan bagian kedua. Contohnya: $3(x-2) = 3x - 6$; $-4(x+1) = -4x - 4$; gabungkan suku-suku sejenis: koefisien x berasal dari $3x$ dan $-4x$, sedangkan konstanta berasal dari $-6$ dan $-4$. Coba kamu lanjutkan langkah akhirnya untuk menuliskan bentuk yang terlengkap tanpa saya kasih jawaban akhirnya. Jika mau, saya bisa cek jawabanmu setelah kamu kirimkan langkah-langkah yang sudah kamu lakukan.'}"
13,Faktorisasi dari x^2 + 5x + 6 adalah....,"Kayaknya salah deh, harusnya (x + 6)(x + 1) aja!",Correct Response + Topic Contingent,"{
  ""Feedback_Type"": ""Correct Response + Topic Contingent"",
  ""Feedback"": ""Wah, kamu sudah berusaha. Jawabanmu $(x+6)(x+1)$ memang terlihat seperti bentuk faktorisasi, tapi untuk $x^2 + 5x + 6$ ekspansi dari itu menjadi $x^2 + 7x + 6$, bukan $x^2 + 5x + 6$. Jadi jawabanmu tidak tepat.\n\nKunci konsepnya: untuk memfaktorkan trinomials kuadrat tanpa koefisien di depan x, kita cari dua bilangan a dan b yang jumlahnya sama dengan koefisien x (5) dan hasil kalinya sama dengan konstan (6).\n\nLangkah praktis yang bisa kamu pakai sekarang:\n- Langkah 1: Tuliskan dua bilangan a dan b dengan syarat a + b = 5 dan ab = 6.\n- Langkah 2: Jika kamu menemukan pasangan yang memenuhi syarat, faktorkan jadi $(x+a)(x+b)$.\n\nKarena kamu punya SPK tinggi, ayo kita cek langkah-langkahnya bersama. Jika mau, kita bisa latihan bareng dan kamu coba lagi sampai menemukan pasangan yang tepat.""
}","{'Feedback_Type': 'Correct Response + Topic Contingent', 'Feedback': 'Wah, kamu sudah berusaha. Jawabanmu $(x+6)(x+1)$ memang terlihat seperti bentuk faktorisasi, tapi untuk $x^2 + 5x + 6$ ekspansi dari itu menjadi $x^2 + 7x + 6$, bukan $x^2 + 5x + 6$. Jadi jawabanmu tidak tepat.\n\nKunci konsepnya: untuk memfaktorkan trinomials kuadrat tanpa koefisien di depan x, kita cari dua bilangan a dan b yang jumlahnya sama dengan koefisien x (5) dan hasil kalinya sama dengan konstan (6).\n\nLangkah praktis yang bisa kamu pakai sekarang:\n- Langkah 1: Tuliskan dua bilangan a dan b dengan syarat a + b = 5 dan ab = 6.\n- Langkah 2: Jika kamu menemukan pasangan yang memenuhi syarat, faktorkan jadi $(x+a)(x+b)$.\n\nKarena kamu punya SPK tinggi, ayo kita cek langkah-langkahnya bersama. Jika mau, kita bisa latihan bareng dan kamu coba lagi sampai menemukan pasangan yang tepat.'}"
14,"Jika a = 2, maka nilai dari 2a^2 – 5a + 3 adalah....","Gak pake ribet, hasilnya 17 lah!",Correct Response + Topic Contingent,"{
  ""Feedback_Type"": ""Correct Response + Topic Contingent"",
  ""Feedback"": ""Wah, bagus sudah berani mencoba soal aljabar. Namun jawaban 17 tidak sesuai dengan evaluasi ekspresi ketika a = 2. Kesalahan umum bisa terjadi saat menambahkan atau menuliskan tanda pada suku-suku, sehingga hasil akhirnya keliru. Coba cek lagi dengan langkah-langkah berikut tanpa langsung mencari nilai akhirnya.\n\nLangkah-langkah (tanpa membocorkan jawaban akhir):\n1) Ganti a dengan 2 pada ekspresi: $2a^2 - 5a + 3 \\to 2(2)^2 - 5(2) + 3$.\n2) Evaluasi tiap bagian secara terpisah: hitung $a^2$, lalu kalikan dengan 2 untuk mendapatkan $2a^2$, hitung $-5a$, dan tambahkan $+3$.\n3) Gabungkan hasil-hasil bagian dengan tanda yang benar.\n\nCoba tuliskan lagi jawabanmu dengan langkah-langkah tersebut dan jelaskan bagaimana kamu menggabungkan bagian-bagian itu. Aku bisa bantu cek langkah-langkannya bersama-sama.""
}","{'Feedback_Type': 'Correct Response + Topic Contingent', 'Feedback': 'Wah, bagus sudah berani mencoba soal aljabar. Namun jawaban 17 tidak sesuai dengan evaluasi ekspresi ketika a = 2. Kesalahan umum bisa terjadi saat menambahkan atau menuliskan tanda pada suku-suku, sehingga hasil akhirnya keliru. Coba cek lagi dengan langkah-langkah berikut tanpa langsung mencari nilai akhirnya.\n\nLangkah-langkah (tanpa membocorkan jawaban akhir):\n1) Ganti a dengan 2 pada ekspresi: $2a^2 - 5a + 3 \\to 2(2)^2 - 5(2) + 3$.\n2) Evaluasi tiap bagian secara terpisah: hitung $a^2$, lalu kalikan dengan 2 untuk mendapatkan $2a^2$, hitung $-5a$, dan tambahkan $+3$.\n3) Gabungkan hasil-hasil bagian dengan tanda yang benar.\n\nCoba tuliskan lagi jawabanmu dengan langkah-langkah tersebut dan jelaskan bagaimana kamu menggabungkan bagian-bagian itu. Aku bisa bantu cek langkah-langkannya bersama-sama.'}"
15,Bentuk sederhana dari (2x – 5) – (3x – 2) adalah....,"Duh, ini sih gampang! Jawabannya 5x – 7!",Try again + Delayed Topic Content,"{
  ""Feedback_Type"": ""Try again + Delayed Topic Content"",
  ""Feedback"": ""Keren ya punya SPK dan SAL tinggi! Kesalahannya terletak pada cara mengurangi kurung kedua. Saat ada tanda minus sebelum (3x - 2), tanda minus harus diterapkan ke semua anggota di dalam kurung tersebut. Coba perhatikan langkah berikut secara eksplisit: $ (2x - 5) - (3x - 2) = 2x - 5 - 3x + 2 $. Setelah itu, fokuskan pada menggabungkan suku-suku sejenis (suku x dan konstanta) untuk menyederhanakan langkah ini. Coba lagi ya, dan jika mau, ceritakan jawaban akhirnya setelah kamu mencoba langkah-langkah itu. Nantikan juga pembahasan singkat tentang distribusi tanda negatif pada kurung untuk memperkuat konsep ini.""
}","{'Feedback_Type': 'Try again + Delayed Topic Content', 'Feedback': 'Keren ya punya SPK dan SAL tinggi! Kesalahannya terletak pada cara mengurangi kurung kedua. Saat ada tanda minus sebelum (3x - 2), tanda minus harus diterapkan ke semua anggota di dalam kurung tersebut. Coba perhatikan langkah berikut secara eksplisit: $ (2x - 5) - (3x - 2) = 2x - 5 - 3x + 2 $. Setelah itu, fokuskan pada menggabungkan suku-suku sejenis (suku x dan konstanta) untuk menyederhanakan langkah ini. Coba lagi ya, dan jika mau, ceritakan jawaban akhirnya setelah kamu mencoba langkah-langkah itu. Nantikan juga pembahasan singkat tentang distribusi tanda negatif pada kurung untuk memperkuat konsep ini.'}"
16,Hasil dari 2a – (–3a + 4) adalah....,"Aduh, ribet amat! Kan jadinya 2a + 3a + 4, jadi 5a + 4? Eh, salah ya? Jadi 5a – 4 aja deh.",Correct Response + Response Contingent,"{
  ""Feedback_Type"": ""Correct Response + Response Contingent"",
  ""Feedback"": ""Kamu sudah mencoba, tetapi ada kesalahan pada cara menghilangkan kurung ketika ada tanda minus di depannya. Ingat aturan: jika ada bentuk a – (b + c), kita ubah menjadi a – b – c. Dalam soal ini, $2a - ( -3a + 4 )$ seharusnya ditulis sebagai $2a - ( -3a ) - 4$. Karena $-( -3a) = +3a$, langkah selanjutnya akan menghasilkan $2a + 3a - 4$. Langkah ini menunjukkan mengapa tanda di dalam kurung perlu diperlakukan secara teliti. Coba ulangi langkahnya dengan pola ini dan cek apakah semua tanda telah dipakai dengan benar. Jika kamu mau, saya bisa bantu cek langkah demi langkah lagi atau kasih beberapa latihan serupa.""
}","{'Feedback_Type': 'Correct Response + Response Contingent', 'Feedback': 'Kamu sudah mencoba, tetapi ada kesalahan pada cara menghilangkan kurung ketika ada tanda minus di depannya. Ingat aturan: jika ada bentuk a – (b + c), kita ubah menjadi a – b – c. Dalam soal ini, $2a - ( -3a + 4 )$ seharusnya ditulis sebagai $2a - ( -3a ) - 4$. Karena $-( -3a) = +3a$, langkah selanjutnya akan menghasilkan $2a + 3a - 4$. Langkah ini menunjukkan mengapa tanda di dalam kurung perlu diperlakukan secara teliti. Coba ulangi langkahnya dengan pola ini dan cek apakah semua tanda telah dipakai dengan benar. Jika kamu mau, saya bisa bantu cek langkah demi langkah lagi atau kasih beberapa latihan serupa.'}"
17,Faktorisasi dari x^2 – 9 adalah....,"Wah, ini mah gampang! Kayaknya (x – 3) doang deh.",Correct Response + Topic Contingent,"{
  ""Feedback_Type"": ""Correct Response + Topic Contingent"",
  ""Feedback"": ""Wah, semangat! Kamu sebenarnya sudah punya pemahaman tentang pola faktorisasi, tapi jawabanmu belum lengkap. Kamu mengira faktor yang tepat hanya (x-3). Padahal x^2 - 9 adalah selisih dua kuadrat, jadi ada dua faktor yang muncul ketika difaktorkan. Pola umum yang bisa dipakai adalah a^2 - b^2 = (a - b)(a + b). Jika kita pakai a = x dan b = 3, pola itu bisa dipakai untuk menentukan keduanya. Coba lanjutkan dengan mengganti a dan b pada pola tersebut dan tulis kedua faktornya (tanpa menuliskan jawaban akhirnya di sini) untuk memeriksa kerja kamu. Kamu bisa tulis jawabanmu nanti, saya bantu cek langkah-langkahnya.""
}","{'Feedback_Type': 'Correct Response + Topic Contingent', 'Feedback': 'Wah, semangat! Kamu sebenarnya sudah punya pemahaman tentang pola faktorisasi, tapi jawabanmu belum lengkap. Kamu mengira faktor yang tepat hanya (x-3). Padahal x^2 - 9 adalah selisih dua kuadrat, jadi ada dua faktor yang muncul ketika difaktorkan. Pola umum yang bisa dipakai adalah a^2 - b^2 = (a - b)(a + b). Jika kita pakai a = x dan b = 3, pola itu bisa dipakai untuk menentukan keduanya. Coba lanjutkan dengan mengganti a dan b pada pola tersebut dan tulis kedua faktornya (tanpa menuliskan jawaban akhirnya di sini) untuk memeriksa kerja kamu. Kamu bisa tulis jawabanmu nanti, saya bantu cek langkah-langkahnya.'}"
18,"Jika y = –2, maka nilai dari y^3 + 3y^2 + y adalah....","Aduh, susah banget. Jawabannya 6 aja deh!",Correct Response + Response Contingent,"{
  ""Feedback_Type"": ""Correct Response + Response Contingent"",
  ""Feedback"": ""Aduh, tidak apa-apa, ayo kita cek bareng. Jawabannya 6 berarti ada kesalahan saat menghitung substitusinya. Kamu sebenarnya bisa, mari kita lihat langkah-langkahnya.\n\nLangkah cek:\n- Substitusikan y = -2 ke ekspresi: $y^3 + 3y^2 + y$.\n- Hitung bagian-bagiannya satu per satu:\n  • $y^3 = (-2)^3$,\n  • $3y^2 = 3(-2)^2$,\n  • $y = -2$.\n- Tetap perhatikan tanda saat menjumlahkan: gabungkan hasil-hasil bagian tersebut dengan tanda yang benar, misalnya sebagai (-8), (+12), (-2).\n- Lakukan penjumlahan secara bertahap: jumlahkan dua bagian dulu, lalu tambahkan bagian yang terakhir, pastikan tanda-tanda tepat.\n\nCoba cek kembali langkah-langkah tersebut. Kalau perlu, kita bisa cek bareng langkah demi langkah sampai kamu merasa yakin, tanpa langsung melihat jawabannya.""
}","{'Feedback_Type': 'Correct Response + Response Contingent', 'Feedback': 'Aduh, tidak apa-apa, ayo kita cek bareng. Jawabannya 6 berarti ada kesalahan saat menghitung substitusinya. Kamu sebenarnya bisa, mari kita lihat langkah-langkahnya.\n\nLangkah cek:\n- Substitusikan y = -2 ke ekspresi: $y^3 + 3y^2 + y$.\n- Hitung bagian-bagiannya satu per satu:\n  • $y^3 = (-2)^3$,\n  • $3y^2 = 3(-2)^2$,\n  • $y = -2$.\n- Tetap perhatikan tanda saat menjumlahkan: gabungkan hasil-hasil bagian tersebut dengan tanda yang benar, misalnya sebagai (-8), (+12), (-2).\n- Lakukan penjumlahan secara bertahap: jumlahkan dua bagian dulu, lalu tambahkan bagian yang terakhir, pastikan tanda-tanda tepat.\n\nCoba cek kembali langkah-langkah tersebut. Kalau perlu, kita bisa cek bareng langkah demi langkah sampai kamu merasa yakin, tanpa langsung melihat jawabannya.'}"
19,Sederhanakan: 3x + 2(x – 4),Kayaknya hasilnya 5x - 4 deh.,Correct Response + Response Contingent,"{
  ""Feedback_Type"": ""Correct Response + Response Contingent"",
  ""Feedback"": ""Keren sudah mencoba! Dari jawabanmu, terlihat ada kesalahan pada distribusi. Kesalahan utama: 2(x-4) tidak sama dengan 2x - 4. Seharusnya $2(x-4) = 2x - 8$.\n\nLangkah yang benar secara bertahap (tanpa menuliskan jawaban akhirnya):\n- Distribusikan kurung: $3x + 2(x-4) = 3x + (2x - 8)$.\n- Gabungkan suku-suku sejenis: suku x berasal dari $3x$ dan $2x$, sedangkan konstanta yang tersisa adalah $-8$.\n\nCoba lanjutkan dengan langkah-langkah di atas untuk melihat bagaimana ekspresi ini direduksi lebih lanjut. Jika mau, kita bisa latihan contoh lain bersama.""
}","{'Feedback_Type': 'Correct Response + Response Contingent', 'Feedback': 'Keren sudah mencoba! Dari jawabanmu, terlihat ada kesalahan pada distribusi. Kesalahan utama: 2(x-4) tidak sama dengan 2x - 4. Seharusnya $2(x-4) = 2x - 8$.\n\nLangkah yang benar secara bertahap (tanpa menuliskan jawaban akhirnya):\n- Distribusikan kurung: $3x + 2(x-4) = 3x + (2x - 8)$.\n- Gabungkan suku-suku sejenis: suku x berasal dari $3x$ dan $2x$, sedangkan konstanta yang tersisa adalah $-8$.\n\nCoba lanjutkan dengan langkah-langkah di atas untuk melihat bagaimana ekspresi ini direduksi lebih lanjut. Jika mau, kita bisa latihan contoh lain bersama.'}"
20,Hasil dari –x^2 + 2x – 1 jika x = –2 adalah....,"Kayaknya hasilnya -9 deh, salah hitung kali ya?",Verification + Delayed Correct Response + Response Contingent,"{
  ""Feedback_Type"": ""Verification + Delayed Correct Response + Response Contingent"",
  ""Feedback"": ""Bagus, kamu menyadari bisa saja salah perhitungan. Kita cek langkahnya untuk memastikan tanpa langsung menuliskan hasil akhirnya. Kemungkinan kesalahan umum di soal seperti ini adalah salah memahami -x^2: artinya minus dari x^2, bukan kuadrat dari -x. Jadi saat kamu substitusi x = -2, lakukan langkah-langkah ini:\n- Ganti x dengan -2.\n- Hitung bagian-bagian: $(-2)^2 = 4$, sehingga $-x^2 = -4$.\n- $2x = 2(-2) = -4$.\n- Kemudian tambahkan: $(-4) + (-4) - 1$.\nKamu punya SPK rendah tapi SAL tinggi, jadi jika kamu berhati-hati dengan tanda-tanda ini, hasil akhirnya bisa benar. Jika kamu ingin, saya bisa lanjutkan dengan menampilkan jawaban akhirnya setelah kita konfirmasi semua langkah, supaya kamu bisa melihat apakah tebakanmu tepat. Coba tulis jumlah akhirnya sendiri untuk latihan ini dan cek apakah langkah-langkahmu konsisten.""
}","{'Feedback_Type': 'Verification + Delayed Correct Response + Response Contingent', 'Feedback': 'Bagus, kamu menyadari bisa saja salah perhitungan. Kita cek langkahnya untuk memastikan tanpa langsung menuliskan hasil akhirnya. Kemungkinan kesalahan umum di soal seperti ini adalah salah memahami -x^2: artinya minus dari x^2, bukan kuadrat dari -x. Jadi saat kamu substitusi x = -2, lakukan langkah-langkah ini:\n- Ganti x dengan -2.\n- Hitung bagian-bagian: $(-2)^2 = 4$, sehingga $-x^2 = -4$.\n- $2x = 2(-2) = -4$.\n- Kemudian tambahkan: $(-4) + (-4) - 1$.\nKamu punya SPK rendah tapi SAL tinggi, jadi jika kamu berhati-hati dengan tanda-tanda ini, hasil akhirnya bisa benar. Jika kamu ingin, saya bisa lanjutkan dengan menampilkan jawaban akhirnya setelah kita konfirmasi semua langkah, supaya kamu bisa melihat apakah tebakanmu tepat. Coba tulis jumlah akhirnya sendiri untuk latihan ini dan cek apakah langkah-langkahmu konsisten.'}"
21,"Bentuk aljabar dari ""jumlah dari dua kali x dan 7"" adalah....","Duh, gampang! Pasti 2(x + 7) kan?",Correct Response + Response Contingent,,
22,Sederhanakan: (x + 4)(x + 1),"Hmm, gampang! Hasilnya x^2 + 4.",Try again + Delayed Topic Content,"{
  ""Feedback_Type"": ""Try again + Delayed Topic Content"",
  ""Feedback"": ""Kamu bisa dibilang cukup yakin dengan konsepnya, tapi ada kesalahan saat menerapkan distributive property pada perkalian dua kurung. Saat mengalikan dua binomial, kita perlu mengalikan setiap suku di dalam kurung pertama dengan setiap suku di dalam kurung kedua (FOIL). Coba tuliskan langkah-langkahnya secara eksplisit, misalnya: $(x+4)(x+1) = x\\cdot x + x\\cdot 1 + 4\\cdot x + 4\\cdot 1$. Setelah itu jumlahkan suku-suku sejenis. Ayo, kamu bisa jika mengikuti urutan itu. Nanti kita bahas konsep penyederhanaan polinomial lebih lanjut pada topik berikutnya.""
}",
23,Hasil dari 2x^2 + 3x – 5 jika x = –1 adalah....,"Hmm, kalau x = -1, berarti 2(-1)^2 + 3(-1) – 5... 2(1) - 3 - 5. Jadi 2 - 8 = -6. Eh, salah deng! Aku dapatnya 0 aja.",Try again + Delayed Topic Contingent,,
24,"Nilai dari (x^2 – y^2) saat x = 5, y = 3 adalah....","Kayaknya 4 deh. Soalnya 5 kuadrat kan 25, 3 kuadrat 9. Terus 25 kurang 9, eh, kok beda ya? Ah, 4 aja lah.",Try again + Delayed Topic Content,"{
  ""Feedback_Type"": ""Try again + Delayed Topic Content"",
  ""Feedback"": ""Kamu sudah mulai menuliskan langkah-langkahnya, tetapi ada kesalahan pada perhitungan selisihnya. Perhatikan langkah-langkahnya: hitung dulu $x^2$ dan $y^2$, lalu kurangi keduanya dengan tanda minus. Contoh: nilai $x^2$ adalah $5^2$ dan $y^2$ adalah $3^2$, kemudian lakukan pengurangan dengan teliti. Karena kita akan bahas konsep diferensi kuadrat nanti (delayed topic content), kita fokus dulu pada akurasi perhitungan angka ini. Coba kerjakan lagi dan kirim langkah-langkahnya supaya aku bisa cek.""
}","{'Feedback_Type': 'Try again + Delayed Topic Content', 'Feedback': 'Kamu sudah mulai menuliskan langkah-langkahnya, tetapi ada kesalahan pada perhitungan selisihnya. Perhatikan langkah-langkahnya: hitung dulu $x^2$ dan $y^2$, lalu kurangi keduanya dengan tanda minus. Contoh: nilai $x^2$ adalah $5^2$ dan $y^2$ adalah $3^2$, kemudian lakukan pengurangan dengan teliti. Karena kita akan bahas konsep diferensi kuadrat nanti (delayed topic content), kita fokus dulu pada akurasi perhitungan angka ini. Coba kerjakan lagi dan kirim langkah-langkahnya supaya aku bisa cek.'}"
25,Bentuk sederhana dari 4x – [2x – (x – 3)] adalah....,"Gini aja, 4x – 2x – x + 3, jadi 1x + 3. Jawabannya x + 3.",Correct Response + Response Contingent,,
26,Hasil dari (a – 2)(a + 2) adalah....,"Lupa dikalikan silang, jadi hasilnya (a^2 – 4a + 4).",Try again + Delayed Topic Contingent,"{
  ""Feedback_Type"": ""Try again + Delayed Topic Contingent"",
  ""Feedback"": ""Keren sudah mencoba, SPK dan SAL kamu tinggi; mari perbaiki satu bagian kecil. Kesalahanmu: kamu tidak mengalikan silang dengan benar saat melakukan distribusi, sehingga koefisien pada suku $a$ tidak tepat. Pada ekspansi $(a-2)(a+2)$, suku-suku silang (+2a dan -2a) seharusnya saling membatalkan, sehingga tidak ada sisa koefisien $a$ di hasil akhirnya. Coba lagi dengan langkah FOIL yang terstruktur:\n- Langkah FOIL (First, Outer, Inner, Last):\n  • First: $a \\cdot a$\n  • Outer: $a \\cdot 2$\n  • Inner: $(-2) \\cdot a$\n  • Last: $(-2) \\cdot 2$\n- Kemudian jumlahkan semua hasilnya. Perhatikan bahwa Outer dan Inner berlawanan tanda, sehingga koefisien $a$ bisa nol setelah dijumlahkan.\n\nJika kamu ingin lebih memahami, nanti kita akan membahas identitas aljabar yang terkait: rumus selisih kuadrat $(a-b)(a+b) = a^2 - b^2$, yang akan membantu memahami pola ekspansi seperti ini.\nSelamat mencoba lagi ya!""
}",
27,"Jika x = –1, maka nilai dari x^3 – 2x^2 + x adalah....","Eh, gampang! Kan x-nya -1, jadi hasilnya 4 dong.",Correct Response + Topic Contingent,"{
  ""Feedback_Type"": ""Correct Response + Topic Contingent"",
  ""Feedback"": ""Bagus banget semangatnya! Kamu sudah mulai paham bahwa soal ini terkait substitusi ke dalam polinomial, tetapi perhitungannya kurang tepat. Mungkin ada kebingungan soal tanda saat mengganti x dengan -1. Coba cek lagi langkah substitusinya dengan teliti:\n\n- Ganti x di setiap suku: $x^3$ menjadi $(-1)^3$, $-2x^2$ menjadi $-2\\cdot((-1)^2)$, dan $x$ menjadi $(-1)$.\n- Evaluasi masing-masing bagian dengan tanda yang tepat, lalu jumlahkan.\n\nPastikan setiap bagian dihitung secara terpisah dulu sebelum dijumlahkan. Jika kamu mau, kita bisa cek langkah demi langkah bersama-sama tanpa langsung menuliskan jawaban akhirnya."" 
}",
28,Sederhanakan: –3(x – 2) + 2(x + 1),"Aduh, ribet amat. Jawabannya 5x – 4 aja deh.",Correct Response + Response Contingent,"{
  ""Feedback_Type"": ""Correct Response + Response Contingent"",
  ""Feedback"": ""Kamu sudah mencoba. Jawabanmu 5x - 4 tidak sesuai dengan langkah penyederhanaan yang benar. Ini kesalahan umum: mendistribusikan tanda kurung tidak konsisten dan menggabungkan suku-suku sejenis secara salah. Coba cek langkah-langkah berikut (tanpa menyelesaikan akhir):\n- Distribusikan setiap kurung: $-3(x-2) = -3x + 6$, dan $2(x+1) = 2x + 2$.\n- Gabungkan suku yang sejenis: koefisien x adalah -3x dan 2x; konstanta berasal dari 6 dan 2.\n- Tuliskan dua bagian hasilnya: bagian koefisien x dan bagian konstanta.\nCoba ulangi langkah-langkahnya dan kirim lagi. Aku di sini untuk bantu kalau kamu mau.""
}","{'Feedback_Type': 'Correct Response + Response Contingent', 'Feedback': 'Kamu sudah mencoba. Jawabanmu 5x - 4 tidak sesuai dengan langkah penyederhanaan yang benar. Ini kesalahan umum: mendistribusikan tanda kurung tidak konsisten dan menggabungkan suku-suku sejenis secara salah. Coba cek langkah-langkah berikut (tanpa menyelesaikan akhir):\n- Distribusikan setiap kurung: $-3(x-2) = -3x + 6$, dan $2(x+1) = 2x + 2$.\n- Gabungkan suku yang sejenis: koefisien x adalah -3x dan 2x; konstanta berasal dari 6 dan 2.\n- Tuliskan dua bagian hasilnya: bagian koefisien x dan bagian konstanta.\nCoba ulangi langkah-langkahnya dan kirim lagi. Aku di sini untuk bantu kalau kamu mau.'}"
29,"Jika a = 2, b = –1, maka nilai dari a^2 + ab – b^2 adalah....","Hmm, kalau gak salah, jawabannya 3 deh.",Correct Response + Response Contingent,"{
  ""Feedback_Type"": ""Response Contingent - Salah"",
  ""Feedback"": ""Keren kamu udah berani menebak. Sepertinya ada kesalahan pada tanda di depan b^2. Dalam ekspresi $a^2 + ab - b^2$, tanda sebelum $b^2$ adalah minus, bukan plus. Coba cek lagi langkah substitusinya: masukkan $a=2$ dan $b=-1$ ke bagian-bagian utama, yaitu $a^2$, $ab$, dan $-b^2$, dengan memperhatikan tanda yang tepat. Karena $b^2 = (-1)^2 = 1$, bagian terakhir tetap bernilai negatif. Ulangi perhitungannya dengan menjaga tanda itu. Jika mau, ceritakan bagaimana kamu memeriksa tiap bagian setelah substitusi.""
}","{'Feedback_Type': 'Response Contingent - Salah', 'Feedback': 'Keren kamu udah berani menebak. Sepertinya ada kesalahan pada tanda di depan b^2. Dalam ekspresi $a^2 + ab - b^2$, tanda sebelum $b^2$ adalah minus, bukan plus. Coba cek lagi langkah substitusinya: masukkan $a=2$ dan $b=-1$ ke bagian-bagian utama, yaitu $a^2$, $ab$, dan $-b^2$, dengan memperhatikan tanda yang tepat. Karena $b^2 = (-1)^2 = 1$, bagian terakhir tetap bernilai negatif. Ulangi perhitungannya dengan menjaga tanda itu. Jika mau, ceritakan bagaimana kamu memeriksa tiap bagian setelah substitusi.'}"
30,Nilai dari (2x + 1)(x – 4) jika x = 3 adalah....,"Aduh, ribet amat! Kan (2(3) + 1)(3 – 4) = (7)(-1). Jadi, hasilnya 7.",Correct Response + Topic Contingent,"{
  ""Feedback_Type"": ""Correct Response + Topic Contingent"",
  ""Feedback"": ""Senang kamu mulai dengan substitusi x = 3. Namun ada kesalahan pada tanda hasil perkalian. Coba periksa langkahnya:\n- \\\(2x+1\\\) dengan x = 3 menjadi \\\\(2\\cdot 3 + 1 = 7\\\\).\n- \\\\(x-4\\\\) dengan x = 3 menjadi \\\\(3-4 = -1\\\\).\nKarena salah satu faktor bernilai negatif, hasil perkalian seharusnya bernilai negatif. Kamu menuliskan hasil positif, jadi tandanya tidak sesuai. Coba cek lagi tanda pada kurung kedua dan bagaimana itu memengaruhi hasil akhirnya.\nTips singkat:\n- Evaluasi setiap faktor terlebih dahulu, lalu kalikan kedua hasilnya.\n- Jika ada satu faktor negatif, hasilnya negatif; jika ada dua faktor negatif, hasilnya positif.\n- Gunakan prinsip tanda: bilangan positif dikalikan dengan (-1) menghasilkan tanda negatif.""
}",
