No,Soal_x,Jawaban,Jawaban_Salah,SPK,SAL,Final_Feedback_Type,Soal_y,Student_Answer,Feedback_Type,Generated_Feedback,dict_generated_feedback
11,Hasil dari (x – 1)(x – 5) adalah....,x^2 – 6x + 5,"Aduh, gampang! x^2 – 5, kan?",High,High,Try again + Delayed Topic Contingent,Hasil dari (x – 1)(x – 5) adalah....,"Aduh, gampang! x^2 – 5, kan?",Try again + Delayed Topic Contingent,"```json
{
  ""Feedback_Type"": ""Try again + Delayed Topic Contingent"",
  ""Feedback"": ""Hey, bagus banget kamu merasa ini gampang! Tapi coba cek lagi langkah-langkahnya. Kamu sudah benar mulai dengan $(x - 1)(x - 5)$, tapi hasilnya bukan $x^2 - 5$. Ingat, kamu perlu mengalikan setiap bagian dari dua binomial ini. Coba pikirkan tentang distribusi atau metode FOIL (First, Outer, Inner, Last) untuk memastikan semua bagian terkalikan dengan benar. Kamu pasti bisa!""
}
```","{'Feedback_Type': 'Try again + Delayed Topic Contingent', 'Feedback': 'Hey, bagus banget kamu merasa ini gampang! Tapi coba cek lagi langkah-langkahnya. Kamu sudah benar mulai dengan $(x - 1)(x - 5)$, tapi hasilnya bukan $x^2 - 5$. Ingat, kamu perlu mengalikan setiap bagian dari dua binomial ini. Coba pikirkan tentang distribusi atau metode FOIL (First, Outer, Inner, Last) untuk memastikan semua bagian terkalikan dengan benar. Kamu pasti bisa!'}"
12,Nilai dari 3(x – 2) – 4(x + 1) adalah....,–x – 2,"Waduh, ini gampang banget! Jawabannya –x + 10, kan?",High,Low,Correct Response + Topic Contingent,Nilai dari 3(x – 2) – 4(x + 1) adalah....,"Waduh, ini gampang banget! Jawabannya –x + 10, kan?",Correct Response + Topic Contingent,"```json
{
  ""Feedback_Type"": ""Correct Response + Topic Contingent"",
  ""Feedback"": ""Hai! Kamu sudah berusaha dengan baik, tapi sepertinya ada sedikit kesalahan dalam menghitung. Yuk, kita cek lagi langkah-langkahnya. Saat kita menghitung $3(x - 2) - 4(x + 1)$, kita perlu mendistribusikan angka di depan kurung ke setiap elemen di dalam kurung. Coba perhatikan kembali bagaimana kamu mendistribusikan angka 3 dan -4 ke dalam kurung. Dengan pengetahuan aljabar yang kamu miliki, aku yakin kamu bisa menemukan di mana letak kesalahannya. Semangat!""
}
```","{'Feedback_Type': 'Correct Response + Topic Contingent', 'Feedback': 'Hai! Kamu sudah berusaha dengan baik, tapi sepertinya ada sedikit kesalahan dalam menghitung. Yuk, kita cek lagi langkah-langkahnya. Saat kita menghitung $3(x - 2) - 4(x + 1)$, kita perlu mendistribusikan angka di depan kurung ke setiap elemen di dalam kurung. Coba perhatikan kembali bagaimana kamu mendistribusikan angka 3 dan -4 ke dalam kurung. Dengan pengetahuan aljabar yang kamu miliki, aku yakin kamu bisa menemukan di mana letak kesalahannya. Semangat!'}"
13,Faktorisasi dari x^2 + 5x + 6 adalah....,(x + 2)(x + 3),"Kayaknya salah deh, harusnya (x + 6)(x + 1) aja!",High,Low,Correct Response + Topic Contingent,Faktorisasi dari x^2 + 5x + 6 adalah....,"Kayaknya salah deh, harusnya (x + 6)(x + 1) aja!",Correct Response + Topic Contingent,"```json
{
  ""Feedback_Type"": ""Correct Response + Topic Contingent"",
  ""Feedback"": ""Hai! Sepertinya kamu sudah hampir benar, tetapi ada sedikit kesalahan dalam faktorisasi. Ingat, kita perlu mencari dua angka yang jika dijumlahkan hasilnya adalah koefisien dari $x$, yaitu 5, dan jika dikalikan hasilnya adalah konstanta, yaitu 6. Coba pikirkan kembali angka-angka tersebut. Kamu pasti bisa!""
}
```","{'Feedback_Type': 'Correct Response + Topic Contingent', 'Feedback': 'Hai! Sepertinya kamu sudah hampir benar, tetapi ada sedikit kesalahan dalam faktorisasi. Ingat, kita perlu mencari dua angka yang jika dijumlahkan hasilnya adalah koefisien dari $x$, yaitu 5, dan jika dikalikan hasilnya adalah konstanta, yaitu 6. Coba pikirkan kembali angka-angka tersebut. Kamu pasti bisa!'}"
14,"Jika a = 2, maka nilai dari 2a^2 – 5a + 3 adalah....",1,"Gak pake ribet, hasilnya 17 lah!",High,Low,Correct Response + Topic Contingent,"Jika a = 2, maka nilai dari 2a^2 – 5a + 3 adalah....","Gak pake ribet, hasilnya 17 lah!",Correct Response + Topic Contingent,"```json
{
  ""Feedback_Type"": ""Correct Response + Topic Contingent"",
  ""Feedback"": ""Hai! Kamu sudah mencoba menyelesaikan soal ini, bagus sekali! Namun, sepertinya ada sedikit kesalahan dalam perhitunganmu. Yuk, kita cek lagi langkah-langkahnya. Pertama, kita substitusi nilai $a = 2$ ke dalam persamaan $2a^2 - 5a + 3$. Jadi, kita hitung $2(2)^2 - 5(2) + 3$. Coba hitung ulang langkah-langkah ini satu per satu, dan pastikan kamu menghitung kuadrat dari $2$ dengan benar. Semangat, kamu pasti bisa!""
}
```","{'Feedback_Type': 'Correct Response + Topic Contingent', 'Feedback': 'Hai! Kamu sudah mencoba menyelesaikan soal ini, bagus sekali! Namun, sepertinya ada sedikit kesalahan dalam perhitunganmu. Yuk, kita cek lagi langkah-langkahnya. Pertama, kita substitusi nilai $a = 2$ ke dalam persamaan $2a^2 - 5a + 3$. Jadi, kita hitung $2(2)^2 - 5(2) + 3$. Coba hitung ulang langkah-langkah ini satu per satu, dan pastikan kamu menghitung kuadrat dari $2$ dengan benar. Semangat, kamu pasti bisa!'}"
15,Bentuk sederhana dari (2x – 5) – (3x – 2) adalah....,–x – 3,"Duh, ini sih gampang! Jawabannya 5x – 7!",High,High,Try again + Delayed Topic Content,Bentuk sederhana dari (2x – 5) – (3x – 2) adalah....,"Duh, ini sih gampang! Jawabannya 5x – 7!",Try again + Delayed Topic Content,"```json
{
  ""Feedback_Type"": ""Try again + Delayed Topic Content"",
  ""Feedback"": ""Hei, sepertinya ada sedikit kesalahan dalam perhitunganmu. Kamu bilang jawabannya adalah $5x - 7$, tapi coba kita lihat lagi langkah-langkahnya. Ingat, ketika kita menyederhanakan ekspresi $(2x - 5) - (3x - 2)$, kita harus memperhatikan tanda negatif di depan tanda kurung kedua. Coba pikirkan kembali bagaimana tanda negatif itu mempengaruhi setiap elemen di dalam kurung. Kamu pasti bisa menemukan jawabannya dengan benar! Semangat!""
}
```","{'Feedback_Type': 'Try again + Delayed Topic Content', 'Feedback': 'Hei, sepertinya ada sedikit kesalahan dalam perhitunganmu. Kamu bilang jawabannya adalah $5x - 7$, tapi coba kita lihat lagi langkah-langkahnya. Ingat, ketika kita menyederhanakan ekspresi $(2x - 5) - (3x - 2)$, kita harus memperhatikan tanda negatif di depan tanda kurung kedua. Coba pikirkan kembali bagaimana tanda negatif itu mempengaruhi setiap elemen di dalam kurung. Kamu pasti bisa menemukan jawabannya dengan benar! Semangat!'}"
16,Hasil dari 2a – (–3a + 4) adalah....,5a + 4,"Aduh, ribet amat! Kan jadinya 2a + 3a + 4, jadi 5a + 4? Eh, salah ya? Jadi 5a – 4 aja deh.",Low,Low,Correct Response + Response Contingent,Hasil dari 2a – (–3a + 4) adalah....,"Aduh, ribet amat! Kan jadinya 2a + 3a + 4, jadi 5a + 4? Eh, salah ya? Jadi 5a – 4 aja deh.",Correct Response + Response Contingent,"```json
{
  ""Feedback_Type"": ""Correct Response + Response Contingent"",
  ""Feedback"": ""Hei, kamu sudah hampir benar! Kamu sudah benar dalam mengubah tanda negatif di dalam kurung menjadi positif. Namun, perhatikan langkah berikutnya: ketika kamu mengubah $-(-3a + 4)$ menjadi $+3a - 4$, kamu benar. Tapi, saat menjumlahkan $2a + 3a$, hasilnya adalah $5a$, bukan $5a + 4$. Jadi, coba pikirkan kembali apakah ada kesalahan dalam penjumlahan atau pengurangan yang kamu lakukan. Kamu sudah di jalur yang tepat, terus semangat!""
}
```","{'Feedback_Type': 'Correct Response + Response Contingent', 'Feedback': 'Hei, kamu sudah hampir benar! Kamu sudah benar dalam mengubah tanda negatif di dalam kurung menjadi positif. Namun, perhatikan langkah berikutnya: ketika kamu mengubah $-(-3a + 4)$ menjadi $+3a - 4$, kamu benar. Tapi, saat menjumlahkan $2a + 3a$, hasilnya adalah $5a$, bukan $5a + 4$. Jadi, coba pikirkan kembali apakah ada kesalahan dalam penjumlahan atau pengurangan yang kamu lakukan. Kamu sudah di jalur yang tepat, terus semangat!'}"
17,Faktorisasi dari x^2 – 9 adalah....,(x + 3)(x – 3),"Wah, ini mah gampang! Kayaknya (x – 3) doang deh.",High,Low,Correct Response + Topic Contingent,Faktorisasi dari x^2 – 9 adalah....,"Wah, ini mah gampang! Kayaknya (x – 3) doang deh.",Correct Response + Topic Contingent,"```json
{
  ""Feedback_Type"": ""Correct Response + Topic Contingent"",
  ""Feedback"": ""Hai! Kamu sudah memulai dengan baik, tapi ada sedikit kesalahan dalam faktorisasi. Ingat bahwa $x^2 - 9$ adalah bentuk dari selisih kuadrat. Coba ingat kembali rumus $(a^2 - b^2) = (a - b)(a + b)$. Dengan begitu, kamu bisa menemukan faktor yang tepat. Semangat!""
}
```","{'Feedback_Type': 'Correct Response + Topic Contingent', 'Feedback': 'Hai! Kamu sudah memulai dengan baik, tapi ada sedikit kesalahan dalam faktorisasi. Ingat bahwa $x^2 - 9$ adalah bentuk dari selisih kuadrat. Coba ingat kembali rumus $(a^2 - b^2) = (a - b)(a + b)$. Dengan begitu, kamu bisa menemukan faktor yang tepat. Semangat!'}"
18,"Jika y = –2, maka nilai dari y^3 + 3y^2 + y adalah....",–11,"Aduh, susah banget. Jawabannya 6 aja deh!",Low,High,Correct Response + Response Contingent,"Jika y = –2, maka nilai dari y^3 + 3y^2 + y adalah....","Aduh, susah banget. Jawabannya 6 aja deh!",Correct Response + Response Contingent,"```json
{
  ""Feedback_Type"": ""Correct Response + Response Contingent"",
  ""Feedback"": ""Hai! Sepertinya kamu merasa kesulitan dengan soal ini, tapi jangan khawatir, kita bisa coba bersama-sama. Pertama, mari kita lihat langkah-langkahnya. Kamu perlu mengganti nilai $y$ dengan $-2$ dalam persamaan $y^3 + 3y^2 + y$. Coba hitung satu per satu: berapa nilai dari $(-2)^3$, $3(-2)^2$, dan $(-2)$? Setelah itu, jumlahkan hasilnya. Yuk, coba lagi dan lihat apakah kamu mendapatkan jawaban yang berbeda!""
}
```","{'Feedback_Type': 'Correct Response + Response Contingent', 'Feedback': 'Hai! Sepertinya kamu merasa kesulitan dengan soal ini, tapi jangan khawatir, kita bisa coba bersama-sama. Pertama, mari kita lihat langkah-langkahnya. Kamu perlu mengganti nilai $y$ dengan $-2$ dalam persamaan $y^3 + 3y^2 + y$. Coba hitung satu per satu: berapa nilai dari $(-2)^3$, $3(-2)^2$, dan $(-2)$? Setelah itu, jumlahkan hasilnya. Yuk, coba lagi dan lihat apakah kamu mendapatkan jawaban yang berbeda!'}"
19,Sederhanakan: 3x + 2(x – 4),5x – 8,Kayaknya hasilnya 5x - 4 deh.,Low,Low,Correct Response + Response Contingent,Sederhanakan: 3x + 2(x – 4),Kayaknya hasilnya 5x - 4 deh.,Correct Response + Response Contingent,"```json
{
  ""Feedback_Type"": ""Correct Response + Response Contingent"",
  ""Feedback"": ""Hai! Sepertinya kamu sudah mencoba menyederhanakan ekspresi ini. Namun, ada sedikit kesalahan dalam langkah-langkahnya. Ketika kamu mengalikan $2(x - 4)$, pastikan kamu mengalikan 2 dengan setiap elemen di dalam kurung. Jadi, $2(x - 4)$ menjadi $2x - 8$. Coba perbaiki langkah ini dan lihat bagaimana hasilnya berubah. Semangat!""
}
```","{'Feedback_Type': 'Correct Response + Response Contingent', 'Feedback': 'Hai! Sepertinya kamu sudah mencoba menyederhanakan ekspresi ini. Namun, ada sedikit kesalahan dalam langkah-langkahnya. Ketika kamu mengalikan $2(x - 4)$, pastikan kamu mengalikan 2 dengan setiap elemen di dalam kurung. Jadi, $2(x - 4)$ menjadi $2x - 8$. Coba perbaiki langkah ini dan lihat bagaimana hasilnya berubah. Semangat!'}"
20,Hasil dari –x^2 + 2x – 1 jika x = –2 adalah....,1,"Kayaknya hasilnya -9 deh, salah hitung kali ya?",Low,High,Verification + Delayed Correct Response + Response Contingent,Hasil dari –x^2 + 2x – 1 jika x = –2 adalah....,"Kayaknya hasilnya -9 deh, salah hitung kali ya?",Verification + Delayed Correct Response + Response Contingent,"```json
{
  ""Feedback_Type"": ""Verification + Delayed Correct Response + Response Contingent"",
  ""Feedback"": ""Hai! Sepertinya kamu sudah mencoba menghitungnya, bagus sekali! Mari kita cek langkah-langkahnya bersama. Pertama, kita masukkan nilai $x = -2$ ke dalam persamaan $-x^2 + 2x - 1$. Jadi, kita punya $-(-2)^2 + 2(-2) - 1$. Coba perhatikan tanda negatif di depan $x^2$, ini penting. Yuk, coba hitung lagi langkah demi langkah, dan lihat apakah hasilnya masih sama. Kalau ada yang bingung, kita bisa bahas bareng!""
}
```","{'Feedback_Type': 'Verification + Delayed Correct Response + Response Contingent', 'Feedback': 'Hai! Sepertinya kamu sudah mencoba menghitungnya, bagus sekali! Mari kita cek langkah-langkahnya bersama. Pertama, kita masukkan nilai $x = -2$ ke dalam persamaan $-x^2 + 2x - 1$. Jadi, kita punya $-(-2)^2 + 2(-2) - 1$. Coba perhatikan tanda negatif di depan $x^2$, ini penting. Yuk, coba hitung lagi langkah demi langkah, dan lihat apakah hasilnya masih sama. Kalau ada yang bingung, kita bisa bahas bareng!'}"
