task_id,level,question,solution,created_at,knowledge_area_ordering,knowledge_area_addition,knowledge_area_subtraction,knowledge_area_multiplication,knowledge_area_division
0394b84f-fb97-4cf8-91b6-8ede61d04c54,Low,Hitunglah: $$\frac{3}{4}$$ + $$1$$,$$1\frac{3}{4}$$,2026-02-24 12:21:19.677503,false,true,false,false,false
03fcd065-f9da-4075-9f89-8897305a7ca9,Low,"Urutkan pecahan berikut dari terkecil ke terbesar: $$2$$, $$1\frac{1}{2}$$, $$\frac{2}{3}$$","$$\frac{2}{3}$$, $$1\frac{1}{2}$$, $$2$$",2026-02-24 12:21:19.677503,true,false,false,false,false
041bf6b2-3383-47d8-be7a-e57d74dcb610,Low,Hitunglah: $$1$$ - $$\frac{2}{9}$$,$$\frac{7}{9}$$,2026-02-24 12:21:19.677503,false,false,true,false,false
049b4bdd-b9e6-4cec-9a87-2d379815070a,Low,Hitunglah: $$5$$ \div $$\frac{7}{9}$$,$$6\frac{3}{7}$$,2026-02-24 12:21:19.677503,false,false,false,false,true
04cdfcb5-67ad-489b-9e08-813943f49289,Low,Hitunglah: $$2\frac{1}{10}$$ + $$5\frac{3}{10}$$,$$7\frac{2}{5}$$,2026-03-02 04:35:26.287887,false,true,false,false,false
04d1f57e-a2f3-42ea-8486-b6ae4d184bc8,Low,Hitunglah: $$\frac{1}{2}$$ \div $$\frac{1}{2}$$,$$1$$,2026-02-24 12:21:19.677503,false,false,false,false,true
04db0a01-e263-4dd2-be47-979c2ea05a71,Low,Hitunglah: $$4\frac{2}{9}$$ + $$5$$,$$9\frac{2}{9}$$,2026-02-24 12:21:19.677503,false,true,false,false,false
04ff2502-c1e5-4330-b953-f7cb1947bd49,Low,Hitunglah: $$1\frac{7}{8}$$ \times $$\frac{1}{5}$$,$$\frac{3}{8}$$,2026-02-24 12:21:19.677503,false,false,false,true,false
059e81df-4eed-4555-810e-18896fa1cddd,Low,"Andi liburan selama $$96$$ jam dan $$\frac{1}{2}$$ hari di Bali, serta $$2$$ hari $$20$$ jam di Surabaya. Berapa lama total liburan?",$$7 \text{ hari } 20 \text{ jam}$$,2026-02-24 12:21:20.772155,false,true,false,false,false
05fe027d-372f-41c8-a9fa-a82f38f019cc,Low,Hitunglah: $$1$$ - $$\frac{6}{7}$$,$$\frac{1}{7}$$,2026-02-24 12:21:20.772155,false,false,true,false,false
060fdac2-fd2a-4fb8-ad55-4c70e2aa389c,Low,Hitunglah: $$5\frac{4}{5}$$ \times $$\frac{1}{2}$$,$$2\frac{9}{10}$$,2026-02-24 12:21:19.677503,false,false,false,true,false
0664fb2f-bfef-4e65-ab5e-c79ece98ee40,High,Hitunglah: $$\frac{1}{4}$$ - $$1\frac{1}{4}$$ - $$1\frac{9}{10}$$,$$-3\frac{9}{10}$$,2026-02-24 12:21:20.772155,false,false,true,false,false
06aaf3c3-0467-4c0c-821e-9eead681d669,Low,Hitunglah: $$2$$ + $$1$$,$$3$$,2026-02-24 12:21:19.677503,false,true,false,false,false
06c6162d-fc3c-4c49-95cc-6065dc18f696,High,Hitunglah: $$2\frac{2}{3}$$ + $$1\frac{1}{3}$$ + $$4\frac{2}{3}$$,$$8\frac{2}{3}$$,2026-03-02 04:35:26.287887,false,true,false,false,false
0734ff7d-ca1e-4185-8c61-f1043451e61a,Low,Hitunglah: $$3\frac{9}{10}$$ - $$\frac{3}{5}$$,$$3\frac{3}{10}$$,2026-02-24 12:21:19.677503,false,false,true,false,false
073d742e-dd91-40c5-8ac4-fcc9afe825ba,Low,Hitunglah: $$8$$ - $$\frac{1}{3}$$,$$7\frac{2}{3}$$,2026-02-24 12:21:20.772155,false,false,true,false,false
0756286c-f4a5-4bd3-99ad-ec24c463e4c4,Low,Hitunglah: $$6$$ - $$\frac{1}{4}$$,$$5\frac{3}{4}$$,2026-02-24 12:21:19.677503,false,false,true,false,false
077f250b-ed2a-409a-84cf-9d038cc60569,Low,Hitunglah: $$4\frac{3}{4}$$ + $$3\frac{1}{2}$$,$$8\frac{1}{4}$$,2026-03-02 04:35:26.287887,false,true,false,false,false
07a88500-2b31-41ab-a72d-397807381663,Low,Hitunglah: $$5\frac{3}{10}$$ + $$1\frac{1}{2}$$,$$6\frac{4}{5}$$,2026-03-02 04:35:26.287887,false,true,false,false,false
07b4cec3-cc00-4c0a-b077-e0fe92a95bde,Low,Hitunglah: $$1\frac{1}{2}$$ - $$1$$,$$\frac{1}{2}$$,2026-02-24 12:21:19.677503,false,false,true,false,false
0802ae4b-3282-40a3-8693-b5a47ccbe5b9,Low,Hitunglah: $$4\frac{1}{3}$$ + $$4\frac{2}{3}$$,$$9$$,2026-03-02 04:35:26.287887,false,true,false,false,false
080c6951-7de8-4d8f-b4c0-41a532469127,High,Budi membaca $$\frac{2}{6}$$ buku pada hari Senin dan $$\frac{1}{3}$$ buku pada hari Selasa. Apakah Budi sudah menyelesaikan setengah bukunya?,$$\text{Ya}$$,2026-02-24 12:21:20.772155,true,true,false,false,false
08344ea1-1dad-4b1d-bf3e-e4f93a302857,High,Hitunglah: $$3\frac{1}{4}$$ + $$2\frac{3}{4}$$ + $$1\frac{1}{2}$$,$$7\frac{1}{2}$$,2026-03-02 04:35:26.287887,false,true,false,false,false
084b60f4-3f2d-4425-b693-b9877bef891e,Low,Hitunglah: $$3\frac{1}{10}$$ + $$4\frac{1}{5}$$,$$7\frac{3}{10}$$,2026-03-02 04:35:26.287887,false,true,false,false,false
0885e106-0c97-4786-881b-a5c3926a3ae5,High,Hitunglah: $$2$$ \div $$\frac{2}{3}$$ \times $$\frac{1}{5}$$,$$\frac{3}{5}$$,2026-02-24 12:21:20.772155,false,false,false,true,true
08988db5-16cf-4615-b179-7300d47ab815,High,Hitunglah: $$1\frac{4}{5}$$ + $$\frac{3}{4}$$ \times $$2$$,$$3\frac{3}{10}$$,2026-02-24 12:21:20.772155,false,true,false,true,false
08d4053b-b2dd-4d9e-b53e-e3725cf7cd06,Low,Hitunglah: $$3\frac{1}{2}$$ + $$1\frac{1}{2}$$,$$5$$,2026-03-02 04:35:26.287887,false,true,false,false,false
09135078-74cf-4f00-84fd-c62f581bc427,Low,Hitunglah: $$3\frac{2}{5}$$ + $$2\frac{3}{5}$$,$$6$$,2026-03-02 04:35:26.287887,false,true,false,false,false
09157e28-d148-4100-b1b1-eaa159fc7689,Low,Hitunglah: $$1\frac{2}{5}$$ + $$5\frac{1}{10}$$,$$6\frac{1}{2}$$,2026-03-02 04:35:26.287887,false,true,false,false,false
093c5500-44af-418a-887f-cb8374c55968,Low,Manakah yang lebih besar: $$2$$ atau $$7$$?,$$7$$,2026-02-24 12:21:19.677503,true,false,false,false,false
09d8b600-d523-413d-8536-ca6b062dc80a,Low,Hitunglah: $$1\frac{7}{8}$$ - $$1$$,$$\frac{7}{8}$$,2026-02-24 12:21:19.677503,false,false,true,false,false
0a0446b6-8770-449d-bb0e-7b16e8855e25,High,Hitunglah: $$1\frac{1}{3}$$ + $$1\frac{1}{3}$$ + $$1\frac{2}{3}$$,$$4\frac{1}{3}$$,2026-03-02 04:35:26.287887,false,true,false,false,false
0a1c4977-7e68-4f3f-ba36-b7eb1997f925,Low,"Urutkan pecahan berikut dari terkecil ke terbesar: $$5\frac{1}{8}$$, $$\frac{3}{5}$$, $$2\frac{1}{2}$$","$$\frac{3}{5}$$, $$2\frac{1}{2}$$, $$5\frac{1}{8}$$",2026-02-24 12:21:19.677503,true,false,false,false,false
0a4297eb-8385-4309-9871-837eeb1d853d,Low,Manakah yang lebih besar: $$2\frac{1}{2}$$ atau $$\frac{1}{3}$$?,$$2\frac{1}{2}$$,2026-02-24 12:21:19.677503,true,false,false,false,false
0a477b57-3093-4bc0-b2f2-b95a71d27613,Low,"Urutkan pecahan berikut dari terkecil ke terbesar: $$\frac{7}{10}$$, $$\frac{1}{6}$$, $$\frac{1}{2}$$","$$\frac{1}{6}$$, $$\frac{1}{2}$$, $$\frac{7}{10}$$",2026-02-24 12:21:20.772155,true,false,false,false,false
0a4ce1c3-6a53-41f5-aa48-3fd4be3e49b5,Low,Hitunglah: $$1\frac{1}{3}$$ + $$2\frac{1}{3}$$,$$3\frac{2}{3}$$,2026-03-02 04:35:26.287887,false,true,false,false,false
0ab40ffe-1341-4128-bc20-78f836def703,Low,Hitunglah: $$\frac{2}{9}$$ \times $$2\frac{1}{2}$$,$$\frac{5}{9}$$,2026-02-24 12:21:19.677503,false,false,false,true,false
0abd780a-d712-4c9f-b07f-477cd9a9571f,Low,Hitunglah: $$1\frac{1}{2}$$ \div $$1\frac{1}{8}$$,$$1\frac{1}{3}$$,2026-02-24 12:21:19.677503,false,false,false,false,true
0ae1d174-605e-44ac-a0d5-41ec7bb5edc5,Low,Hitunglah: $$2\frac{3}{4}$$ + $$5\frac{1}{2}$$,$$8\frac{1}{4}$$,2026-03-02 04:35:26.287887,false,true,false,false,false
0aebf5dd-73c3-41dc-9751-ee8c40f3c496,Low,Hitunglah: $$2$$ + $$\frac{7}{10}$$,$$2\frac{7}{10}$$,2026-02-24 12:21:19.677503,false,true,false,false,false
0b33cd9d-c797-46d8-8ef9-35db59190250,Low,Hitunglah: $$1$$ \times $$\frac{1}{2}$$,$$\frac{1}{2}$$,2026-02-24 12:21:19.677503,false,false,false,true,false
0b519ff9-8c99-42a1-b10f-bb597a370996,Low,"Urutkan pecahan berikut dari terkecil ke terbesar: $$1\frac{1}{2}$$, $$1$$, $$1$$, $$\frac{1}{4}$$","$$\frac{1}{4}$$, $$1$$, $$1$$, $$1\frac{1}{2}$$",2026-02-24 12:21:19.677503,true,false,false,false,false
0bb01720-6d35-44db-bef4-bb3ba31e1f59,Low,Hitunglah: $$4\frac{1}{7}$$ + $$4\frac{3}{7}$$,$$8\frac{4}{7}$$,2026-03-02 04:35:26.287887,false,true,false,false,false
0bb33525-75cf-4c96-a651-6f6c3e66d751,Low,Manakah yang lebih besar: $$\frac{5}{6}$$ atau $$1\frac{1}{4}$$?,$$1\frac{1}{4}$$,2026-02-24 12:21:19.677503,true,false,false,false,false
0bd6db26-273f-4c62-8722-aa5ac7a2a8d1,Low,Hitunglah: $$\frac{5}{6}$$ + $$1$$,$$1\frac{5}{6}$$,2026-02-24 12:21:19.677503,false,true,false,false,false
0bef8728-945d-4514-9101-3af130a4df3f,Low,Hitunglah: $$\frac{1}{3}$$ + $$\frac{7}{9}$$,$$1\frac{1}{9}$$,2026-02-24 12:21:20.772155,false,true,false,false,false
0bf1ed7f-9c01-4c38-9d2f-e9df2ce5f7ad,Low,Hitunglah: $$2\frac{1}{10}$$ + $$4\frac{1}{2}$$,$$6\frac{3}{5}$$,2026-03-02 04:35:26.287887,false,true,false,false,false
0c0c3a9f-2977-45af-916c-5041977f0230,Low,Manakah yang lebih besar: $$3\frac{1}{2}$$ atau $$\frac{2}{7}$$?,$$3\frac{1}{2}$$,2026-02-24 12:21:19.677503,true,false,false,false,false
0c58758f-f67b-455b-9c6f-f8d88d858737,High,Hitunglah: $$\frac{1}{2}$$ - $$2\frac{1}{2}$$ \times $$3$$,$$-7$$,2026-02-24 12:21:20.772155,false,false,true,true,false
0c5f6823-6043-44e0-8e00-8cf0f52417b9,Low,Hitunglah: $$1\frac{3}{7}$$ \times $$6$$,$$8\frac{4}{7}$$,2026-02-24 12:21:19.677503,false,false,false,true,false
0c72459d-0db3-4430-9b0f-05967f057abc,Low,Hitunglah: $$\frac{3}{4}$$ + $$10$$,$$10\frac{3}{4}$$,2026-02-24 12:21:19.677503,false,true,false,false,false
0c81e7f6-d585-46d0-97b5-8301c0b2ae24,Low,Hitunglah: $$\frac{2}{3}$$ - $$\frac{1}{2}$$,$$\frac{1}{6}$$,2026-02-24 12:21:19.677503,false,false,true,false,false
0cad4746-a447-4d5b-9bed-71dd4b08f98a,Low,Hitunglah: $$3\frac{3}{8}$$ + $$3\frac{1}{2}$$,$$6\frac{7}{8}$$,2026-03-02 04:35:26.287887,false,true,false,false,false
0cb0a631-3c7c-4485-96e0-3374d36b7ddc,Low,Hitunglah: $$2\frac{1}{4}$$ + $$2\frac{1}{4}$$,$$4\frac{1}{2}$$,2026-03-02 04:35:26.287887,false,true,false,false,false
0cb3722b-cbf2-435b-ab3c-a99b3a4a068a,Low,"Urutkan pecahan berikut dari terbesar ke terkecil: $$5$$, $$1$$, $$1\frac{3}{7}$$, $$\frac{1}{2}$$","$$5$$, $$1\frac{3}{7}$$, $$1$$, $$\frac{1}{2}$$",2026-02-24 12:21:19.677503,true,false,false,false,false
0cce8aa9-556a-4746-aeb8-d7652af60b44,Low,Hitunglah: $$2$$ - $$\frac{2}{5}$$,$$1\frac{3}{5}$$,2026-02-24 12:21:19.677503,false,false,true,false,false
0d387aad-decd-471b-a6f3-92910b16e7a9,High,Hitunglah: $$2\frac{1}{2}$$ + $$1\frac{1}{2}$$ + $$1\frac{1}{4}$$,$$5\frac{1}{4}$$,2026-03-02 04:35:26.287887,false,true,false,false,false
0d805371-52d4-44a8-afa4-d5aa51731df3,Low,Hitunglah: $$1$$ \times $$1$$,$$1$$,2026-02-24 12:21:19.677503,false,false,false,true,false
0db81cc0-3f69-4996-8d04-a386c2285e75,High,"Bu Asri memiliki $$3$$ pohon mangga. Setiap pohon menghasilkan $$250$$ buah. $$20%$$ dibagikan, sisanya dijual ke $$5$$ pedagang. Berapa yang dibeli setiap pedagang?",$$120 \text{ buah}$$,2026-02-24 12:21:20.772155,false,false,true,true,true
0e0ae9ae-99f3-42ee-9b79-f269644cf93a,Low,Hitunglah: $$4\frac{2}{3}$$ + $$3\frac{2}{3}$$,$$8\frac{1}{3}$$,2026-03-02 04:35:26.287887,false,true,false,false,false
0e44167a-3376-4cef-afe4-73977cd23152,Low,"Urutkan pecahan berikut dari terbesar ke terkecil: $$1\frac{1}{5}$$, $$2\frac{2}{3}$$, $$1\frac{1}{7}$$, $$1\frac{3}{10}$$","$$2\frac{2}{3}$$, $$1\frac{3}{10}$$, $$1\frac{1}{5}$$, $$1\frac{1}{7}$$",2026-02-24 12:21:20.772155,true,false,false,false,false
0e5c3a35-192d-4a38-864d-3bc3f04970d6,Low,Hitunglah: $$3\frac{1}{2}$$ + $$4\frac{1}{2}$$,$$8$$,2026-03-02 04:35:26.287887,false,true,false,false,false
0e654154-4e54-4d51-bec6-9b3427b98b28,Low,Hitunglah: $$2\frac{1}{4}$$ + $$3\frac{1}{2}$$,$$5\frac{3}{4}$$,2026-03-02 04:35:26.287887,false,true,false,false,false
0e65ecb4-9764-4c27-93c1-b7ffaa5efc9b,High,Hitunglah: $$3\frac{5}{6}$$ + $$2\frac{2}{3}$$ + $$1\frac{1}{2}$$,$$8$$,2026-03-02 04:35:26.287887,false,true,false,false,false
0e6b7f95-8f4a-4488-b324-964e9fc4f7e8,Low,Hitunglah: $$1\frac{1}{4}$$ \div $$2\frac{1}{4}$$,$$\frac{5}{9}$$,2026-02-24 12:21:19.677503,false,false,false,false,true
0e6fc221-a467-4c69-b225-7a672985bced,Low,Manakah yang lebih besar: $$10$$ atau $$1\frac{1}{2}$$?,$$10$$,2026-02-24 12:21:20.772155,true,false,false,false,false
0f453980-0839-4a6d-a104-ed99fab248e1,Low,Hitunglah: $$1\frac{3}{4}$$ + $$3\frac{1}{2}$$,$$5\frac{1}{4}$$,2026-03-02 04:35:26.287887,false,true,false,false,false
0f65ef29-d23e-4eb4-9452-baf7dbfc2d47,Low,Hitunglah: $$4\frac{1}{2}$$ + $$2\frac{1}{2}$$,$$7$$,2026-03-02 04:35:26.287887,false,true,false,false,false
0f745d8c-6896-4c08-aff5-b983188a72b7,High,Hitunglah: $$3$$ \div $$1\frac{1}{2}$$ - $$1$$,$$1$$,2026-02-24 12:21:20.772155,false,false,true,false,true
0fb0cb61-75d4-4291-aa28-134eabb1ed64,Low,Manakah yang lebih besar: $$\frac{4}{9}$$ atau $$\frac{1}{7}$$?,$$\frac{4}{9}$$,2026-02-24 12:21:19.677503,true,false,false,false,false
0fbaf269-0e18-488e-9cef-a0fc10003c4d,High,Hitunglah: $$1$$ \div $$\frac{1}{2}$$ \div $$1\frac{1}{6}$$,$$1\frac{5}{7}$$,2026-02-24 12:21:20.772155,false,false,false,false,true
10744fc9-7631-4f72-ba0a-000d21144ef4,Low,Hitunglah: $$1$$ - $$\frac{1}{3}$$,$$\frac{2}{3}$$,2026-02-24 12:21:19.677503,false,false,true,false,false
10b003b9-e62f-4e99-868c-50233d7a1b85,Low,"Urutkan pecahan berikut dari terbesar ke terkecil: $$1$$, $$1$$, $$3\frac{1}{2}$$, $$\frac{3}{7}$$","$$3\frac{1}{2}$$, $$1$$, $$1$$, $$\frac{3}{7}$$",2026-02-24 12:21:19.677503,true,false,false,false,false
10d88d7c-fc89-4c48-8e22-4f60b33b9610,Low,Hitunglah: $$4\frac{1}{9}$$ + $$2\frac{1}{9}$$,$$6\frac{2}{9}$$,2026-03-02 04:35:26.287887,false,true,false,false,false
10f321a2-f138-4fcd-9083-798fd71b996f,High,Hitunglah: $$1$$ + $$\frac{1}{3}$$ \times $$\frac{1}{2}$$,$$1\frac{1}{6}$$,2026-02-24 12:21:20.772155,false,true,false,true,false
111f9eac-b140-402b-a60e-9e2dd85c9b6e,High,Hitunglah: $$2\frac{1}{3}$$ + $$4\frac{1}{3}$$ + $$1\frac{2}{3}$$,$$8\frac{1}{3}$$,2026-03-02 04:35:26.287887,false,true,false,false,false
114e7c14-90c6-460b-807c-cada6f070742,Low,Hitunglah: $$1$$ + $$6$$,$$7$$,2026-02-24 12:21:19.677503,false,true,false,false,false
11887738-ae93-4929-ab1e-1b26b56bf570,High,Hitunglah: $$5\frac{1}{2}$$ + $$1\frac{5}{6}$$ + $$2\frac{5}{6}$$,$$10\frac{1}{6}$$,2026-03-02 04:35:26.287887,false,true,false,false,false
11906d16-2861-453b-a6e9-735c27b388b7,Low,Nia membuat $$12$$ kue mangkuk dan membaginya ke $$4$$ orang sama rata. Pecahan kue yang diterima setiap orang adalah:,$$\frac{3}{12}$$,2026-02-24 12:21:20.772155,false,false,false,false,true
11c25ec7-8285-4e9b-b00e-39b232242931,Low,Hitunglah: $$4\frac{1}{4}$$ \div $$\frac{2}{3}$$,$$6\frac{3}{8}$$,2026-02-24 12:21:19.677503,false,false,false,false,true
11e03b50-7041-472a-9666-cc02fb02c400,Low,Manakah yang lebih besar: $$\frac{3}{7}$$ atau $$1\frac{1}{3}$$?,$$1\frac{1}{3}$$,2026-02-24 12:21:19.677503,true,false,false,false,false
122c7c42-dcd2-401e-afc2-4271f3bece2d,Low,Hitunglah: $$5\frac{1}{7}$$ + $$2\frac{5}{7}$$,$$7\frac{6}{7}$$,2026-03-02 04:35:26.287887,false,true,false,false,false
123b607d-68ba-41d5-93aa-5206a6ccf3ab,Low,Hitunglah: $$5\frac{1}{3}$$ + $$2\frac{2}{3}$$,$$8$$,2026-03-02 04:35:26.287887,false,true,false,false,false
123bd7d4-2f08-4269-9fbd-fc4eb2bae3f9,High,Hitunglah: $$4\frac{2}{5}$$ + $$2\frac{1}{5}$$ + $$2\frac{1}{5}$$,$$8\frac{4}{5}$$,2026-03-02 04:35:26.287887,false,true,false,false,false
1268b759-0702-47f1-aa6d-2b65f5009464,High,Hitunglah: $$\frac{2}{3}$$ \div $$1\frac{1}{6}$$ + $$\frac{5}{7}$$,$$1\frac{2}{7}$$,2026-02-24 12:21:20.772155,false,true,false,false,true
127364f7-b766-4eb4-b8b9-55371f3d48fa,Low,Hitunglah: $$2\frac{1}{3}$$ \div $$\frac{4}{9}$$,$$5\frac{1}{4}$$,2026-02-24 12:21:19.677503,false,false,false,false,true
1299943e-c291-41b0-8fbd-63a8a7448b9a,Low,Hitunglah: $$5$$ - $$\frac{5}{7}$$,$$4\frac{2}{7}$$,2026-02-24 12:21:20.772155,false,false,true,false,false
129c0461-72e4-4322-a655-712f15edbc46,Low,Hitunglah: $$5\frac{2}{7}$$ + $$2\frac{4}{7}$$,$$7\frac{6}{7}$$,2026-03-02 04:35:26.287887,false,true,false,false,false
12ce47be-2417-4b3c-b030-497161c86c32,Low,Rina memiliki $$\frac{3}{4}$$ liter susu. Ia menggunakan $$\frac{1}{2}$$ liter untuk membuat kue. Berapa liter susu yang masih tersisa?,$$\frac{1}{4}$$,2026-02-24 12:21:20.772155,false,false,true,false,false
12f030c7-f527-44ee-9b16-82a162491410,Low,"Urutkan pecahan berikut dari terbesar ke terkecil: $$\frac{2}{3}$$, $$\frac{1}{5}$$, $$1$$, $$4\frac{2}{3}$$","$$4\frac{2}{3}$$, $$1$$, $$\frac{2}{3}$$, $$\frac{1}{5}$$",2026-02-24 12:21:19.677503,true,false,false,false,false
12f6b2e7-66d9-4176-9546-e60545a17706,High,Hitunglah: $$\frac{1}{6}$$ \div $$\frac{1}{9}$$ \times $$1$$,$$1\frac{1}{2}$$,2026-02-24 12:21:20.772155,false,false,false,true,true
12fd87e5-bb54-44e3-83cb-6f8366553a5a,High,Hitunglah: $$1\frac{3}{4}$$ \div $$\frac{3}{4}$$ \times $$4\frac{1}{2}$$,$$10\frac{1}{2}$$,2026-02-24 12:21:20.772155,false,false,false,true,true
13706365-1f09-4935-871e-128ec8f0bde3,High,Hitunglah: $$2$$ + $$\frac{2}{3}$$ \div $$1\frac{1}{2}$$,$$2\frac{4}{9}$$,2026-02-24 12:21:20.772155,false,true,false,false,true
13988cbd-73f3-4ad4-8638-87bf678321f8,Low,Manakah yang lebih besar: $$\frac{1}{2}$$ atau $$1\frac{1}{7}$$?,$$1\frac{1}{7}$$,2026-02-24 12:21:19.677503,true,false,false,false,false
13ac537d-b483-4f85-b5fd-3f6881cc9881,High,Hitunglah: $$5\frac{2}{7}$$ + $$1\frac{5}{7}$$ + $$3\frac{2}{7}$$,$$10\frac{2}{7}$$,2026-03-02 04:35:26.287887,false,true,false,false,false
13cf8195-cf1a-46f1-b637-5cce640f0b15,Low,"Urutkan pecahan berikut dari terbesar ke terkecil: $$4\frac{1}{2}$$, $$\frac{5}{6}$$, $$2\frac{2}{3}$$, $$\frac{1}{2}$$","$$4\frac{1}{2}$$, $$2\frac{2}{3}$$, $$\frac{5}{6}$$, $$\frac{1}{2}$$",2026-02-24 12:21:19.677503,true,false,false,false,false
13dbcfa8-67b4-49e8-a834-017e170a128c,Low,Hitunglah: $$\frac{4}{5}$$ \times $$2\frac{1}{2}$$,$$2$$,2026-02-24 12:21:19.677503,false,false,false,true,false
13ed241c-be92-48f0-8935-a8374738bbcc,Low,Hitunglah: $$2$$ - $$\frac{1}{4}$$,$$1\frac{3}{4}$$,2026-02-24 12:21:19.677503,false,false,true,false,false
1403a085-1f75-4fb5-b31b-2fcd2de700a1,High,Hitunglah: $$4\frac{5}{8}$$ + $$1\frac{1}{8}$$ + $$1\frac{5}{8}$$,$$7\frac{3}{8}$$,2026-03-02 04:35:26.287887,false,true,false,false,false
141fcc35-5597-41c7-b3cc-bc594659e7b8,Low,Hitunglah: $$\frac{1}{2}$$ \times $$\frac{1}{5}$$,$$\frac{1}{10}$$,2026-02-24 12:21:19.677503,false,false,false,true,false
142e35f3-7064-4e20-aaed-b82235f08c16,High,Hitunglah: $$\frac{2}{3}$$ + $$1\frac{2}{3}$$ + $$2$$,$$4\frac{1}{3}$$,2026-02-24 12:21:20.772155,false,true,false,false,false
